'PrivateIpAddress','PublicIpAddress','Platform','InstanceId','VpcId','InstanceType','PublicDnsName','Hypervisor','LaunchTime','KernelId','Platform','Architecture','VirtualizationType','InstanceLifecycle','PrivateDnsName','PublicDnsName','ImageId','SubnetId','StateReason','Monitoring','State','Placement','tribe','hostname','DOMAIN','provider','Name','env','service','SecurityGroups','unix-time','date-time'
'172.31.26.231','13.213.60.247','','i-05ff03064241969db','vpc-c42ffaa2','t2.micro','ec2-13-213-60-247.ap-southeast-1.compute.amazonaws.com','xen','21-03-2022_00-39','','','x86_64','hvm','','ip-172-31-26-231.ap-southeast-1.compute.internal','ec2-13-213-60-247.ap-southeast-1.compute.amazonaws.com','ami-0801a1e12f4a9ccc0','subnet-09b30a6f','','disabled','running','ap-southeast-1b','sre','bastion','prod','aws','bastion','prd','bastion','sg-02390b75fbb1def17 ','1647833246','2022-03-21_03-27'
